=> Saving data in Logs/FRL~try=586
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 208 | malicious users: 3 | test acc 0.8347 test loss 0.939868 best test_acc 0.9132
e 209 | malicious users: 2 | test acc 0.9049 test loss 0.728911 best test_acc 0.9132
e 210 | malicious users: 5 | test acc 0.8116 test loss 0.998258 best test_acc 0.9132
e 211 | malicious users: 5 | test acc 0.7737 test loss 1.034259 best test_acc 0.9132
e 212 | malicious users: 3 | test acc 0.7014 test loss 1.091641 best test_acc 0.9132
e 213 | malicious users: 6 | test acc 0.7920 test loss 0.911926 best test_acc 0.9132
e 214 | malicious users: 4 | test acc 0.7127 test loss 0.994308 best test_acc 0.9132
e 215 | malicious users: 6 | test acc 0.7604 test loss 0.974788 best test_acc 0.9132
e 216 | malicious users: 6 | test acc 0.8228 test loss 0.858473 best test_acc 0.9132
e 217 | malicious users: 2 | test acc 0.8538 test loss 0.753447 best test_acc 0.9132
e 218 | malicious users: 3 | test acc 0.7838 test loss 0.916519 best test_acc 0.9132
e 219 | malicious users: 3 | test acc 0.8378 test loss 0.894288 best test_acc 0.9132
e 220 | malicious users: 7 | test acc 0.5685 test loss 1.298714 best test_acc 0.9132
e 221 | malicious users: 8 | test acc 0.5373 test loss 1.176338 best test_acc 0.9132
e 222 | malicious users: 4 | test acc 0.8627 test loss 1.011335 best test_acc 0.9132
e 223 | malicious users: 6 | test acc 0.5349 test loss 1.348788 best test_acc 0.9132
e 224 | malicious users: 6 | test acc 0.7864 test loss 0.933243 best test_acc 0.9132
e 225 | malicious users: 4 | test acc 0.7532 test loss 1.026536 best test_acc 0.9132
e 226 | malicious users: 7 | test acc 0.5553 test loss 1.109302 best test_acc 0.9132
e 227 | malicious users: 2 | test acc 0.8517 test loss 0.923289 best test_acc 0.9132
e 228 | malicious users: 5 | test acc 0.8331 test loss 0.951738 best test_acc 0.9132
e 229 | malicious users: 7 | test acc 0.7876 test loss 1.028890 best test_acc 0.9132
e 230 | malicious users: 7 | test acc 0.8320 test loss 0.951460 best test_acc 0.9132
e 231 | malicious users: 9 | test acc 0.5123 test loss 1.217718 best test_acc 0.9132
e 232 | malicious users: 4 | test acc 0.8220 test loss 1.136337 best test_acc 0.9132
e 233 | malicious users: 4 | test acc 0.8318 test loss 0.994567 best test_acc 0.9132
e 234 | malicious users: 8 | test acc 0.6433 test loss 1.230408 best test_acc 0.9132
e 235 | malicious users: 4 | test acc 0.7776 test loss 1.066355 best test_acc 0.9132
e 236 | malicious users: 6 | test acc 0.7107 test loss 1.019452 best test_acc 0.9132
e 237 | malicious users: 7 | test acc 0.8457 test loss 0.952923 best test_acc 0.9132
e 238 | malicious users: 4 | test acc 0.8586 test loss 0.926602 best test_acc 0.9132
e 239 | malicious users: 2 | test acc 0.7891 test loss 1.042281 best test_acc 0.9132
e 240 | malicious users: 1 | test acc 0.8341 test loss 0.866379 best test_acc 0.9132
e 241 | malicious users: 4 | test acc 0.7943 test loss 1.015900 best test_acc 0.9132
e 242 | malicious users: 6 | test acc 0.6788 test loss 1.028530 best test_acc 0.9132
e 243 | malicious users: 5 | test acc 0.8443 test loss 0.940615 best test_acc 0.9132
e 244 | malicious users: 7 | test acc 0.7180 test loss 0.865847 best test_acc 0.9132
e 245 | malicious users: 7 | test acc 0.4626 test loss 1.349872 best test_acc 0.9132
e 246 | malicious users: 3 | test acc 0.8126 test loss 1.190693 best test_acc 0.9132
e 247 | malicious users: 4 | test acc 0.7523 test loss 1.140726 best test_acc 0.9132
e 248 | malicious users: 9 | test acc 0.8041 test loss 0.859427 best test_acc 0.9132
e 249 | malicious users: 3 | test acc 0.8316 test loss 0.871625 best test_acc 0.9132
e 250 | malicious users: 7 | test acc 0.5633 test loss 1.228503 best test_acc 0.9132
e 251 | malicious users: 8 | test acc 0.6864 test loss 1.121720 best test_acc 0.9132
e 252 | malicious users: 6 | test acc 0.6334 test loss 1.128435 best test_acc 0.9132
e 253 | malicious users: 4 | test acc 0.8075 test loss 0.937398 best test_acc 0.9132
e 254 | malicious users: 5 | test acc 0.7649 test loss 0.967261 best test_acc 0.9132
e 255 | malicious users: 5 | test acc 0.8145 test loss 0.995690 best test_acc 0.9132
e 256 | malicious users: 3 | test acc 0.8751 test loss 0.932142 best test_acc 0.9132
e 257 | malicious users: 5 | test acc 0.6795 test loss 1.135054 best test_acc 0.9132
e 258 | malicious users: 5 | test acc 0.7471 test loss 1.155392 best test_acc 0.9132
e 259 | malicious users: 7 | test acc 0.6163 test loss 1.356225 best test_acc 0.9132
e 260 | malicious users: 8 | test acc 0.4842 test loss 1.454136 best test_acc 0.9132
e 261 | malicious users: 5 | test acc 0.7316 test loss 1.152489 best test_acc 0.9132
e 262 | malicious users: 6 | test acc 0.7645 test loss 1.099438 best test_acc 0.9132
e 263 | malicious users: 9 | test acc 0.7408 test loss 0.996799 best test_acc 0.9132
e 264 | malicious users: 7 | test acc 0.7734 test loss 0.990501 best test_acc 0.9132
e 265 | malicious users: 7 | test acc 0.7387 test loss 0.928301 best test_acc 0.9132
e 266 | malicious users: 6 | test acc 0.4066 test loss 1.495304 best test_acc 0.9132
e 267 | malicious users: 6 | test acc 0.6688 test loss 1.235260 best test_acc 0.9132
e 268 | malicious users: 7 | test acc 0.7190 test loss 1.132712 best test_acc 0.9132
e 269 | malicious users: 12 | test acc 0.6813 test loss 1.110076 best test_acc 0.9132
e 270 | malicious users: 3 | test acc 0.7908 test loss 1.059960 best test_acc 0.9132
e 271 | malicious users: 0 | test acc 0.7906 test loss 0.889660 best test_acc 0.9132
e 272 | malicious users: 4 | test acc 0.7006 test loss 1.040976 best test_acc 0.9132
e 273 | malicious users: 8 | test acc 0.8498 test loss 0.841149 best test_acc 0.9132
e 274 | malicious users: 4 | test acc 0.7175 test loss 1.035942 best test_acc 0.9132
e 275 | malicious users: 7 | test acc 0.6101 test loss 1.139895 best test_acc 0.9132
e 276 | malicious users: 3 | test acc 0.8053 test loss 0.944400 best test_acc 0.9132
e 277 | malicious users: 2 | test acc 0.6576 test loss 0.917681 best test_acc 0.9132
e 278 | malicious users: 5 | test acc 0.6437 test loss 0.989802 best test_acc 0.9132
e 279 | malicious users: 4 | test acc 0.6165 test loss 1.153427 best test_acc 0.9132
e 280 | malicious users: 4 | test acc 0.7831 test loss 0.993299 best test_acc 0.9132
e 281 | malicious users: 3 | test acc 0.8562 test loss 1.059292 best test_acc 0.9132
e 282 | malicious users: 7 | test acc 0.6451 test loss 1.200650 best test_acc 0.9132
e 283 | malicious users: 6 | test acc 0.8226 test loss 0.926957 best test_acc 0.9132
