=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 167 | malicious users: 4 | test acc 0.7922 test loss 0.907005 best test_acc 0.9400
e 168 | malicious users: 6 | test acc 0.8826 test loss 0.879280 best test_acc 0.9400
e 169 | malicious users: 9 | test acc 0.7851 test loss 1.124483 best test_acc 0.9400
e 170 | malicious users: 9 | test acc 0.7859 test loss 1.056184 best test_acc 0.9400
e 171 | malicious users: 2 | test acc 0.8519 test loss 0.981823 best test_acc 0.9400
e 172 | malicious users: 8 | test acc 0.7687 test loss 1.093106 best test_acc 0.9400
e 173 | malicious users: 4 | test acc 0.8039 test loss 0.958190 best test_acc 0.9400
e 174 | malicious users: 4 | test acc 0.8801 test loss 0.905255 best test_acc 0.9400
e 175 | malicious users: 2 | test acc 0.8724 test loss 0.933911 best test_acc 0.9400
e 176 | malicious users: 6 | test acc 0.8132 test loss 1.022327 best test_acc 0.9400
e 177 | malicious users: 4 | test acc 0.8911 test loss 0.939311 best test_acc 0.9400
e 178 | malicious users: 6 | test acc 0.8784 test loss 0.754258 best test_acc 0.9400
e 179 | malicious users: 4 | test acc 0.8812 test loss 0.838436 best test_acc 0.9400
e 180 | malicious users: 5 | test acc 0.7392 test loss 0.971473 best test_acc 0.9400
e 181 | malicious users: 9 | test acc 0.7315 test loss 1.112827 best test_acc 0.9400
e 182 | malicious users: 2 | test acc 0.9217 test loss 0.836408 best test_acc 0.9400
e 183 | malicious users: 3 | test acc 0.9349 test loss 0.729426 best test_acc 0.9400
e 184 | malicious users: 6 | test acc 0.9012 test loss 0.955281 best test_acc 0.9400
e 185 | malicious users: 7 | test acc 0.7873 test loss 1.006065 best test_acc 0.9400
e 186 | malicious users: 6 | test acc 0.8786 test loss 0.913090 best test_acc 0.9400
e 187 | malicious users: 3 | test acc 0.9372 test loss 0.693562 best test_acc 0.9400
e 188 | malicious users: 8 | test acc 0.7809 test loss 1.003727 best test_acc 0.9400
e 189 | malicious users: 7 | test acc 0.7669 test loss 1.074417 best test_acc 0.9400
e 190 | malicious users: 3 | test acc 0.8964 test loss 0.891692 best test_acc 0.9400
e 191 | malicious users: 2 | test acc 0.8284 test loss 0.819211 best test_acc 0.9400
e 192 | malicious users: 3 | test acc 0.8521 test loss 0.736516 best test_acc 0.9400
e 193 | malicious users: 5 | test acc 0.8855 test loss 0.821900 best test_acc 0.9400
e 194 | malicious users: 4 | test acc 0.9307 test loss 0.685458 best test_acc 0.9400
e 195 | malicious users: 5 | test acc 0.9025 test loss 0.878978 best test_acc 0.9400
e 196 | malicious users: 2 | test acc 0.9168 test loss 0.814084 best test_acc 0.9400
e 197 | malicious users: 5 | test acc 0.8990 test loss 0.836720 best test_acc 0.9400
