=> Saving data in Logs/FRL~try=925
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 215 | malicious users: 7 | test acc 0.7563 test loss 1.003969 best test_acc 0.9244
e 216 | malicious users: 4 | test acc 0.8898 test loss 0.756139 best test_acc 0.9244
e 217 | malicious users: 6 | test acc 0.8687 test loss 0.678076 best test_acc 0.9244
e 218 | malicious users: 3 | test acc 0.9204 test loss 0.524239 best test_acc 0.9244
e 219 | malicious users: 6 | test acc 0.7713 test loss 0.769312 best test_acc 0.9244
e 220 | malicious users: 7 | test acc 0.7431 test loss 0.827432 best test_acc 0.9244
e 221 | malicious users: 4 | test acc 0.8321 test loss 0.731707 best test_acc 0.9244
e 222 | malicious users: 6 | test acc 0.8480 test loss 0.837645 best test_acc 0.9244
e 223 | malicious users: 7 | test acc 0.7925 test loss 0.739056 best test_acc 0.9244
e 224 | malicious users: 3 | test acc 0.9070 test loss 0.642009 best test_acc 0.9244
e 225 | malicious users: 4 | test acc 0.8937 test loss 0.508217 best test_acc 0.9244
e 226 | malicious users: 4 | test acc 0.9204 test loss 0.590873 best test_acc 0.9244
e 227 | malicious users: 2 | test acc 0.9114 test loss 0.594442 best test_acc 0.9244
e 228 | malicious users: 6 | test acc 0.7290 test loss 0.927776 best test_acc 0.9244
e 229 | malicious users: 4 | test acc 0.8101 test loss 0.824902 best test_acc 0.9244
e 230 | malicious users: 5 | test acc 0.8722 test loss 0.761194 best test_acc 0.9244
e 231 | malicious users: 3 | test acc 0.9151 test loss 0.658529 best test_acc 0.9244
e 232 | malicious users: 5 | test acc 0.7444 test loss 0.776562 best test_acc 0.9244
e 233 | malicious users: 4 | test acc 0.8294 test loss 0.869834 best test_acc 0.9244
e 234 | malicious users: 6 | test acc 0.8343 test loss 0.790377 best test_acc 0.9244
e 235 | malicious users: 5 | test acc 0.8894 test loss 0.580773 best test_acc 0.9244
e 236 | malicious users: 6 | test acc 0.8100 test loss 0.712614 best test_acc 0.9244
e 237 | malicious users: 7 | test acc 0.7846 test loss 0.779418 best test_acc 0.9244
e 238 | malicious users: 7 | test acc 0.7599 test loss 0.727953 best test_acc 0.9244
e 239 | malicious users: 4 | test acc 0.8793 test loss 0.804806 best test_acc 0.9244
e 240 | malicious users: 7 | test acc 0.8870 test loss 0.699881 best test_acc 0.9244
e 241 | malicious users: 5 | test acc 0.8624 test loss 0.672659 best test_acc 0.9244
e 242 | malicious users: 7 | test acc 0.8484 test loss 0.899210 best test_acc 0.9244
e 243 | malicious users: 3 | test acc 0.8806 test loss 0.704443 best test_acc 0.9244
e 244 | malicious users: 7 | test acc 0.8739 test loss 0.664339 best test_acc 0.9244
e 245 | malicious users: 4 | test acc 0.8999 test loss 0.764115 best test_acc 0.9244
e 246 | malicious users: 6 | test acc 0.8259 test loss 0.788848 best test_acc 0.9244
e 247 | malicious users: 6 | test acc 0.8451 test loss 0.824079 best test_acc 0.9244
e 248 | malicious users: 9 | test acc 0.5420 test loss 1.311291 best test_acc 0.9244
e 249 | malicious users: 4 | test acc 0.8431 test loss 0.882769 best test_acc 0.9244
e 250 | malicious users: 4 | test acc 0.8946 test loss 0.775083 best test_acc 0.9244
e 251 | malicious users: 7 | test acc 0.8134 test loss 0.735124 best test_acc 0.9244
e 252 | malicious users: 7 | test acc 0.6554 test loss 0.963311 best test_acc 0.9244
e 253 | malicious users: 10 | test acc 0.5358 test loss 1.296420 best test_acc 0.9244
e 254 | malicious users: 4 | test acc 0.5527 test loss 1.301747 best test_acc 0.9244
e 255 | malicious users: 5 | test acc 0.8837 test loss 0.799798 best test_acc 0.9244
e 256 | malicious users: 7 | test acc 0.7431 test loss 0.885216 best test_acc 0.9244
e 257 | malicious users: 6 | test acc 0.8091 test loss 0.926012 best test_acc 0.9244
e 258 | malicious users: 2 | test acc 0.9181 test loss 0.616383 best test_acc 0.9244
e 259 | malicious users: 5 | test acc 0.8378 test loss 0.834019 best test_acc 0.9244
e 260 | malicious users: 2 | test acc 0.8788 test loss 0.624017 best test_acc 0.9244
e 261 | malicious users: 4 | test acc 0.9078 test loss 0.643572 best test_acc 0.9244
e 262 | malicious users: 4 | test acc 0.8995 test loss 0.641867 best test_acc 0.9244
e 263 | malicious users: 4 | test acc 0.7955 test loss 0.856394 best test_acc 0.9244
e 264 | malicious users: 5 | test acc 0.8564 test loss 0.955372 best test_acc 0.9244
e 265 | malicious users: 7 | test acc 0.8166 test loss 0.715315 best test_acc 0.9244
e 266 | malicious users: 6 | test acc 0.7268 test loss 0.893513 best test_acc 0.9244
e 267 | malicious users: 3 | test acc 0.9195 test loss 0.728916 best test_acc 0.9244
e 268 | malicious users: 5 | test acc 0.8198 test loss 0.836932 best test_acc 0.9244
e 269 | malicious users: 6 | test acc 0.8562 test loss 0.654499 best test_acc 0.9244
e 270 | malicious users: 6 | test acc 0.8295 test loss 0.664127 best test_acc 0.9244
e 271 | malicious users: 3 | test acc 0.9203 test loss 0.667652 best test_acc 0.9244
e 272 | malicious users: 6 | test acc 0.8027 test loss 0.822277 best test_acc 0.9244
e 273 | malicious users: 5 | test acc 0.8729 test loss 0.687776 best test_acc 0.9244
e 274 | malicious users: 4 | test acc 0.8687 test loss 0.741378 best test_acc 0.9244
e 275 | malicious users: 7 | test acc 0.7915 test loss 0.804493 best test_acc 0.9244
e 276 | malicious users: 5 | test acc 0.8197 test loss 0.752652 best test_acc 0.9244
e 277 | malicious users: 4 | test acc 0.9200 test loss 0.613742 best test_acc 0.9244
e 278 | malicious users: 6 | test acc 0.8543 test loss 0.747253 best test_acc 0.9244
e 279 | malicious users: 4 | test acc 0.9213 test loss 0.622394 best test_acc 0.9244
e 280 | malicious users: 6 | test acc 0.8788 test loss 0.552798 best test_acc 0.9244
e 281 | malicious users: 5 | test acc 0.8438 test loss 0.673104 best test_acc 0.9244
e 282 | malicious users: 4 | test acc 0.8275 test loss 0.732943 best test_acc 0.9244
e 283 | malicious users: 3 | test acc 0.8972 test loss 0.573921 best test_acc 0.9244
